#From	To
A2P2R3	S000004689
A5Z2X5	S000122558
D6VPM8	S000000074
D6VTK4	S000001868
D6W196	S000005027
I2HB52	S000028736
I2HB70	S000004933
O13297	S000006149
O13329	S000002517
O13511	S000001817
O13512	S000002141
O13513	S000002139
O13514	S000002138
O13515	S000002137
O13516	S000006002
O13517	S000006023
O13518	S000006035
O13519	S000006057
O13520	S000005965
O13521	S000005956
O13522	S000002804
O13523	S000002809
O13525	S000002612
O13527	S000000067
O13529	S000003531
O13530	S000004188
O13531	S000004192
O13532	S000004207
O13533	S000003532
O13534	S000003535
O13535	S000003534
O13536	S000003533
O13537	S000001188
O13539	S000001210
O13540	S000004269
O13541	S000004270
O13542	S000004272
O13543	S000004285
O13544	S000004293
O13545	S000004366
O13546	S000004222
O13547	S000006429
O13548	S000006303
O13549	S000004251
O13550	S000004259
O13553	S000004309
O13554	S000004314
O13555	S000004323
O13556	S000004454
O13557	S000004455
O13558	S000004457
O13559	S000004458
O13560	S000004436
O13561	S000004159
O13562	S000004161
O13563	S000004413
O13564	S000004420
O13565	S000004350
O13566	S000006327
O13567	S000006330
O13568	S000006334
O13569	S000006340
O13570	S000006346
O13571	S000006350
O13572	S000006354
O13573	S000004242
O13574	S000004245
O13575	S000006381
O13576	S000004426
O13577	S000004429
O13578	S000004407
O13579	S000004371
O13582	S000006280
O13583	S000006281
O13584	S000006291
O13585	S000006293
O13586	S000006296
O13587	S000006300
O13588	S000002143
O14455	S000006438
O14464	S000007224
O14467	S000007253
O14468	S000005830
O42831	S000002145
O43137	S000007522
O60200	S000007243
O74302	S000007394
O74700	S000007256
O75012	S000006430
O94084	S000004330
O94085	S000004331
O94086	S000004341
O94143	S000003724
O94742	S000007235
P00044	S000003809
P00045	S000000765
P00127	S000001929
P00128	S000002937
P00163	S000007270
P00175	S000004518
P00330	S000005446
P00331	S000004918
P00358	S000003769
P00359	S000003424
P00360	S000003588
P00401	S000007260
P00410	S000007281
P00420	S000007283
P00424	S000004997
P00425	S000001373
P00427	S000001093
P00431	S000001774
P00445	S000003865
P00447	S000001050
P00498	S000000857
P00546	S000000364
P00549	S000000036
P00560	S000000605
P00572	S000003818
P00635	S000000297
P00724	S000001424
P00729	S000004912
P00812	S000006032
P00815	S000000535
P00817	S000000215
P00830	S000003882
P00854	S000007268
P00856	S000007267
P00890	S000005284
P00899	S000000892
P00912	S000002414
P00924	S000003486
P00925	S000001217
P00927	S000000888
P00931	S000002994
P00937	S000001694
P00942	S000002457
P00950	S000001635
P00958	S000003496
P01094	S000004786
P01095	S000004960
P01097	S000002340
P01098	S000007232
P01119	S000005627
P01120	S000005042
P01123	S000001856
P01149	S000006108
P02293	S000002632
P02294	S000000098
P02309	S000000213
P02309	S000004975
P02381	S000007275
P02400	S000002790
P02406	S000003071
P02407	S000004486
P02557	S000001857
P02829	S000006161
P02992	S000005713
P02994	S000000322
P02994	S000006284
P03069	S000000735
P03870	S000029654
P03871	S000029675
P03872	S000029676
P03873	S000007271
P03874	S000001030
P03875	S000007261
P03876	S000007262
P03877	S000007263
P03878	S000007264
P03879	S000007273
P03881	S000007282
P03882	S000007279
P03962	S000000747
P03965	S000003870
P04037	S000003155
P04039	S000004387
P04046	S000004915
P04050	S000002299
P04051	S000005642
P04076	S000001060
P04147	S000000967
P04161	S000002816
P04173	S000000523
P04385	S000000224
P04386	S000006169
P04387	S000004515
P04397	S000000223
P04449	S000002999
P04456	S000005487
P04650	S000003725
P04710	S000004660
P04786	S000005366
P04801	S000001340
P04802	S000003941
P04803	S000002676
P04806	S000001949
P04807	S000003222
P04817	S000000789
P04819	S000002323
P04821	S000004301
P04840	S000005000
P04911	S000002633
P04912	S000000099
P05030	S000002976
P05066	S000005913
P05085	S000004565
P05150	S000003624
P05316	S000000225
P05317	S000004332
P05318	S000002239
P05319	S000005399
P05373	S000003008
P05374	S000003389
P05375	S000003834
P05453	S000002579
P05626	S000005999
P05694	S000000893
P05737	S000003044
P05738	S000003115
P05739	S000004440
P05740	S000001663
P05743	S000004336
P05744	S000006064
P05745	S000004807
P05747	S000006437
P05748	S000004019
P05749	S000004051
P05750	S000005122
P05755	S000000393
P05756	S000002471
P05759	S000004157
P05986	S000001649
P06100	S000002324
P06101	S000002575
P06102	S000001300
P06103	S000005888
P06104	S000003026
P06105	S000003616
P06106	S000004294
P06115	S000003320
P06168	S000004347
P06169	S000004034
P06174	S000005804
P06182	S000000037
P06197	S000006317
P06208	S000005048
P06242	S000002266
P06243	S000002175
P06244	S000003700
P06245	S000006124
P06367	S000000627
P06633	S000005728
P06634	S000005730
P06700	S000002200
P06701	S000004434
P06704	S000005783
P06738	S000006364
P06773	S000001187
P06774	S000003206
P06775	S000003423
P06776	S000005887
P06777	S000005943
P06778	S000004494
P06779	S000003813
P06780	S000006369
P06781	S000005034
P06782	S000002885
P06783	S000001661
P06784	S000002318
P06785	S000005600
P06786	S000005032
P06787	S000000313
P06838	S000004560
P06839	S000000973
P06843	S000000963
P06844	S000002800
P07143	S000005591
P07149	S000001665
P07170	S000002634
P07172	S000001378
P07213	S000005065
P07236	S000001677
P07244	S000003203
P07245	S000003436
P07246	S000004688
P07248	S000002624
P07249	S000004645
P07250	S000002580
P07251	S000000195
P07252	S000003745
P07253	S000000324
P07255	S000002225
P07256	S000000141
P07257	S000006395
P07258	S000005829
P07259	S000003666
P07260	S000005499
P07261	S000005996
P07262	S000005902
P07263	S000006237
P07264	S000002977
P07266	S000001460
P07267	S000006075
P07269	S000002264
P07270	S000001930
P07271	S000004526
P07272	S000004004
P07273	S000003011
P07274	S000005648
P07275	S000001079
P07276	S000003490
P07277	S000004821
P07278	S000001295
P07280	S000005481
P07281	S000005246
P07283	S000001849
P07284	S000002430
P07285	S000002762
P07286	S000000447
P07342	S000004714
P07347	S000001055
P07390	S000005328
P07560	S000001889
P07702	S000000319
P07703	S000006314
P07806	S000003326
P07807	S000005762
P07834	S000001885
