P32797	P17214
Q12345	P40060
P38264	P38353
P40513	P38120
Q03002	P11484
P25604	Q02767
Q06213	Q12343
Q08685	P25299
P38753	P40325
Q06217	P53207
P32657	P19454
P32598	P36047
P33338	P32793
Q04003	Q99314
P11484	P53251
Q12050	P38251
P39678	P09959
Q04493	P52553
P38828	P53297
P40512	Q12468
P32639	Q03338
P60010	P17555
P40567	P53935
Q07732	P39083
P15108	P53874
P20434	P32910
P33332	P32855
Q04749	P41318
P40303	P22141
P38736	Q01590
P02829	P38788
P32325	P22216
P20434	P16370
P32476	P53045
P33306	P14681
P38270	Q02948
P32790	P37370
P04386	Q02516
P80428	Q12464
P15873	P12954
P47160	P38817
P49686	P52891
Q12050	P38629
Q08754	P36080
Q12432	P39995
P53858	P10592
Q06410	Q03654
P32803	P54837
P39904	Q12071
P33313	P48362
P10592	P25294
Q06625	P43598
P32657	P61830
P11914	P10507
Q04231	Q12336
P19073	P38785
Q06410	P48837
P33420	P38163
P43603	P25604
Q06324	Q04477
P11747	P38129
P32562	P32944
P53309	P40956
P32803	P15303
P39521	Q03973
Q00618	P20133
Q06697	P53064
Q12517	Q3E7X9
P27637	P42073
P25655	P06102
P06844	P38915
P53309	P22137
Q05021	P13393
P53252	Q04279
P38257	P32793
P02829	P33200
P50947	P22579
Q03761	P38129
P48743	P16649
P45976	P29468
P30657	P30656
Q08921	P35169
P53854	P32523
P00817	Q12194
Q00362	P23595
Q03063	Q02821
P53141	P38272
P22516	P02829
P39081	P40073
Q12446	P39940
P25694	P54860
Q06142	Q02199
Q04067	P40217
Q04839	P49686
P43603	P40453
P40302	P22141
Q12255	P32602
Q07350	Q04477
P32832	P43609
Q07622	P51862
P48232	Q92331
P38346	P53955
P25555	Q12159
Q12168	P39743
Q12377	Q04062
P06787	P00817
Q12154	P09436
P46682	Q08951
P14291	P31111
Q12124	P16370
Q03956	P16140
P39969	P54786
P07261	Q01722
P27472	P40187
P39081	Q06224
P23561	P25344
Q12387	Q06504
P11484	P27705
P20050	P14291
P32494	P38811
P12383	P33200
P07251	P00830
P38129	Q03750
Q08923	P32561
P23644	P33448
Q02629	P52891
P07703	P25441
P11484	P53343
P40555	Q03465
P32565	Q12250
P10591	Q12428
P38313	P39946
P49334	P07213
P37366	P06242
P33759	Q03976
P41811	P32263
P38877	P25559
P38972	Q06708
P18634	P39940
P32598	P32790
P45976	Q01329
P53091	P06843
Q03940	P25638
P53549	Q12377
P18851	P18852
Q02821	P22579
Q02821	P13259
P40509	P32074
Q06675	P53298
P11484	Q04779
Q05636	Q12149
P40353	P11484
P34237	Q03954
P05453	P31539
P40016	O94742
P14291	Q12306
P40510	P42843
P32803	Q05359
Q12176	P39744
Q03390	Q06263
P38785	Q06648
P38791	P23301
P47017	P22147
P34730	P32356
P33299	P50086
P06786	Q12159
P39682	P32605
P02829	P23561
P53253	Q00402
P47129	P32793
P35177	P50102
P10592	P16603
P07261	P11938
P07703	P47076
P32366	P32563
P46677	P38129
P06242	P04050
Q12230	Q03407
P22137	Q06677
P21147	P38264
P38144	P53125
P48415	P38968
P53622	P53600
P11709	P46675
P33759	P21771
Q07732	P36094
P25651	P32908
P15108	Q03280
Q00362	Q04439
P10592	P53874
Q12030	P38811
P04821	P02829
Q02196	P42843
P22214	P15303
P25441	P35718
P12954	P50623
Q06245	P32844
P49704	P20053
P47093	P38999
P32529	P22139
P06844	Q05027
P10591	P38887
Q12345	Q06411
P32447	Q04199
P22204	P39008
P38879	P40314
P35497	P38987
P20459	P32481
Q12018	P06243
P33759	Q03201
Q12186	Q02875
P11484	P27616
Q08285	P46948
P34162	P38208
P39009	P36102
P38264	P38992
P15891	P53974
Q07457	Q02796
P53158	P40003
Q03940	P53201
P32585	P34162
P11076	P38682
P38873	P41318
Q04601	P14724
Q02629	Q02630
P11484	P10081
P50113	P40917
P16892	P08539
P40064	P30657
P38356	P11484
P40106	P06839
P80667	P50091
P11076	P32074
P39958	P38555
P41543	Q92316
P38080	P25344
P11484	P00560
P47068	P38822
Q06410	Q03433
P23594	Q04372
P11484	Q03407
P11484	P38764
P53622	P53847
P25293	Q12152
Q03790	Q05166
P32481	P38431
P32354	P53091
P49334	P80967
Q12046	P32523
Q03330	P32494
Q02205	P38247
P38920	P25847
P32605	Q05900
Q05080	P39955
P15873	P38251
P34162	Q12124
P32589	P16603
P42846	P25586
Q05080	P40073
P06780	P33332
P25359	P53256
Q12285	Q12118
Q03330	Q05027
Q12280	P53141
Q03373	P13574
P53199	P38132
Q07914	Q12138
P11484	P07703
Q02866	Q06168
P46957	P15436
Q05791	P38823
P06102	Q12514
Q04749	P53955
P33420	P47057
P43572	Q08649
P39969	P40077
P32494	P50875
P38316	P20049
