#From	To
A2P2R3	YMR084W
A5Z2X5	YPR010C-A
D6VPM8	YAR023C
D6VTK4	YFL026W
O13297	YPL228W
O13329	YDR110W
O13511	YAL065C
O13512	YAL064W-B
O13513	YAL056C-A
O13514	YAL042C-A
O13515	YAL034C-B
O13516	YPL081W
O13517	YPL102C
O13518	YPL114W
O13519	YPL136W
O13520	YPL044C
O13521	YPL035C
O13522	YDR396W
O13523	YDR401W
O13525	YDR204W
O13527	YAR009C
O13529	YHR021W-A
O13530	YLR198C
O13531	YLR202C
O13532	YLR217W
O13534	YHR214W-A
O13535	YHR214C-B
O13536	YHR139C-A
O13537	YHR145C
O13539	YHR167W
O13540	YLR279W
O13541	YLR280C
O13542	YLR282C
O13543	YLR294C
O13544	YLR302C
O13545	YLR374C
O13546	YLR232W
O13547	YLR390W-A
O13548	YPR099C
O13549	YLR261C
O13550	YLR269C
O13553	YLR317W
O13554	YLR322W
O13555	YLR331C
O13556	YLR462W
O13557	YLR463C
O13558	YLR465C
O13559	YLR466W
O13560	YLR444C
O13561	YLR169W
O13562	YLR171W
O13563	YLR421C
O13564	YLR428C
O13565	YLR358C
O13566	YPR123C
O13567	YPR126C
O13568	YPR130C
O13569	YPR136C
O13570	YPR142C
O13571	YPR146C
O13572	YPR150W
O13573	YLR252W
O13574	YLR255C
O13575	YPR177C
O13576	YLR434C
O13577	YLR437C
O13578	YLR415C
O13579	YLR379W
O13582	YPR076W
O13583	YPR077C
O13584	YPR087W
O13585	YPR089W
O13586	YPR092W
O13587	YPR096C
O13588	YAL069W
O14455	YPL249C-A
O14464	YPL183W-A
O14467	YOR298C-A
O14468	YOR304C-A
O42831	YAR075W
O43137	YBR085C-A
O60200	YKL053C-A
O74302	YDR261C-C
O74700	YEL020W-A
O75012	YDL045W-A
O94084	YLR338W
O94085	YLR339C
O94086	YLR349W
O94742	YDR363W-A
P00044	YJR048W
P00045	YEL039C
P00127	YFR033C
P00128	YDR529C
P00163	Q0105
P00175	YML054C
P00330	YOL086C
P00331	YMR303C
P00358	YJR009C
P00359	YGR192C
P00360	YJL052W
P00401	Q0045
P00410	Q0250
P00420	Q0275
P00424	YNL052W
P00425	YIL111W
P00427	YHR051W
P00431	YKR066C
P00445	YJR104C
P00447	YHR008C
P00498	YER055C
P00546	YBR160W
P00549	YAL038W
P00560	YCR012W
P00572	YJR057W
P00635	YBR093C
P00724	YIL162W
P00729	YMR297W
P00812	YPL111W
P00815	YCL030C
P00817	YBR011C
P00830	YJR121W
P00854	Q0085
P00856	Q0080
P00890	YNR001C
P00899	YER090W
P00912	YDR007W
P00924	YGR254W
P00925	YHR174W
P00927	YER086W
P00931	YGL026C
P00937	YKL211C
P00942	YDR050C
P00950	YKL152C
P00958	YGR264C
P01094	YMR174C
P01095	YNL015W
P01097	YDL181W
P01098	YDL130W-A
P01119	YOR101W
P01120	YNL098C
P01123	YFL038C
P01149	YPL187W
P02293	YDR224C
P02294	YBL002W
P02309	YBR009C
P02309	YNL030W
P02381	Q0140
P02400	YDR382W
P02406	YGL103W
P02407	YML024W
P02557	YFL037W
P02829	YPL240C
P02992	YOR187W
P02994	YBR118W
P02994	YPR080W
P03069	YEL009C
P03873	Q0110
P03874	YHL038C
P03875	Q0050
P03876	Q0055
P03877	Q0060
P03878	Q0065
P03879	Q0120
P03881	Q0255
P03882	Q0160
P03962	YEL021W
P03965	YJR109C
P04037	YGL187C
P04039	YLR395C
P04046	YMR300C
P04050	YDL140C
P04051	YOR116C
P04076	YHR018C
P04147	YER165W
P04161	YDR408C
P04173	YCL018W
P04385	YBR020W
P04386	YPL248C
P04387	YML051W
P04397	YBR019C
P04449	YGL031C
P04456	YOL127W
P04650	YJL189W
P04710	YMR056C
P04786	YOL006C
P04801	YIL078W
P04802	YLL018C
P04803	YDR268W
P04806	YFR053C
P04807	YGL253W
P04817	YEL063C
P04819	YDL164C
P04821	YLR310C
P04840	YNL055C
P04911	YDR225W
P04912	YBL003C
P05030	YGL008C
P05066	YOR386W
P05085	YML099C
P05150	YJL088W
P05316	YBR021W
P05317	YLR340W
P05318	YDL081C
P05319	YOL039W
P05373	YGL040C
P05374	YGR157W
P05375	YJR073C
P05453	YDR172W
P05626	YPL078C
P05694	YER091C
P05737	YGL076C
P05738	YGL147C
P05739	YLR448W
P05740	YKL180W
P05743	YLR344W
P05744	YPL143W
P05745	YMR194W
P05747	YFR032C-A
P05748	YLR029C
P05749	YLR061W
P05750	YNL178W
P05755	YBR189W
P05756	YDR064W
P05759	YLR167W
P05986	YKL166C
P06100	YDL165W
P06101	YDR168W
P06102	YIL038C
P06103	YOR361C
P06104	YGL058W
P06105	YJL080C
P06106	YLR303W
